"bookUrl","score","votes"
"https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs","56773","736"
"https://www.goodreads.com/book/show/6752378-city-of-fallen-angels","56618","706"
"https://www.goodreads.com/book/show/24770.Uglies","56436","671"
"https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning","56368","658"
"https://www.goodreads.com/book/show/5203.She_s_Come_Undone","55867","676"
"https://www.goodreads.com/book/show/24337.Ella_Enchanted","54880","683"
"https://www.goodreads.com/book/show/12691.Marley_and_Me","54719","687"
"https://www.goodreads.com/book/show/480204.The_Phantom_of_the_Opera","54690","705"
"https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle","54426","611"
"https://www.goodreads.com/book/show/36381037-cinder","53845","622"
"https://www.goodreads.com/book/show/11566.The_Green_Mile","53112","684"
"https://www.goodreads.com/book/show/10572.A_Clash_of_Kings","53060","654"
"https://www.goodreads.com/book/show/40495148-blindness","52960","612"
"https://www.goodreads.com/book/show/10975.The_Sound_and_the_Fury","52836","662"
"https://www.goodreads.com/book/show/40874325-the-shack","52365","623"
"https://www.goodreads.com/book/show/30183.Marked","52002","614"
"https://www.goodreads.com/book/show/7745.Fear_and_Loathing_in_Las_Vegas","51371","621"
"https://www.goodreads.com/book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society","51311","627"
"https://www.goodreads.com/book/show/46170.For_Whom_the_Bell_Tolls","51234","699"
"https://www.goodreads.com/book/show/9328.The_House_of_the_Spirits","50930","641"
"https://www.goodreads.com/book/show/24812.The_Complete_Calvin_and_Hobbes","50806","633"
"https://www.goodreads.com/book/show/546018.Roots","50255","661"
"https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle","50193","599"
"https://www.goodreads.com/book/show/10614.Misery","49966","653"
"https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land","49644","618"
"https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins","49491","638"
"https://www.goodreads.com/book/show/4502877-midnight-sun-2008-draft","48809","573"
"https://www.goodreads.com/book/show/29044.The_Secret_History","48540","560"
"https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest","48501","623"
"https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl","48304","624"
"https://www.goodreads.com/book/show/32234.White_Oleander","48287","601"
"https://www.goodreads.com/book/show/11614718-delirium","47759","548"
"https://www.goodreads.com/book/show/11505797-beautiful-disaster","47680","537"
"https://www.goodreads.com/book/show/12996.Othello","47644","685"
"https://www.goodreads.com/book/show/6442769-paper-towns","47539","559"
"https://www.goodreads.com/book/show/6801755-flow-down-like-silver","47531","491"
"https://www.goodreads.com/book/show/39280444-speak","47236","582"
"https://www.goodreads.com/book/show/43814.The_Vampire_Lestat","47213","605"
"https://www.goodreads.com/book/show/12505.The_Idiot","47167","602"
"https://www.goodreads.com/book/show/12938.King_Lear","46840","643"
"https://www.goodreads.com/book/show/43545.The_Once_and_Future_King","46455","578"
"https://www.goodreads.com/book/show/227711.I_Know_This_Much_Is_True","46411","554"
"https://www.goodreads.com/book/show/14497.Neverwhere","46225","567"
"https://www.goodreads.com/book/show/1845.Into_the_Wild","46106","584"
"https://www.goodreads.com/book/show/28194.Inkheart","45915","581"
"https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin","45569","635"
"https://www.goodreads.com/book/show/28881.Lamb","45524","509"
"https://www.goodreads.com/book/show/30236962-the-historian","44874","543"
"https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes","44725","582"
"https://www.goodreads.com/book/show/19380.Candide","44189","582"
"https://www.goodreads.com/book/show/19288043-gone-girl","44031","538"
"https://www.goodreads.com/book/show/16981.Invisible_Man","43994","556"
"https://www.goodreads.com/book/show/6689.James_and_the_Giant_Peach","43983","618"
"https://www.goodreads.com/book/show/2184798.Blood_River","43917","443"
"https://www.goodreads.com/book/show/15997.Paradise_Lost","43720","591"
"https://www.goodreads.com/book/show/32085.All_Creatures_Great_and_Small","43633","579"
"https://www.goodreads.com/book/show/27494.Leaves_of_Grass","43629","592"
"https://www.goodreads.com/book/show/3236307-graceling","43435","514"
"https://www.goodreads.com/book/show/29579.Foundation","43047","527"
"https://www.goodreads.com/book/show/569564.The_Complete_Works","43027","560"
"https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale","42961","522"
"https://www.goodreads.com/book/show/11297.Norwegian_Wood","42887","494"
"https://www.goodreads.com/book/show/133518.The_Things_They_Carried","42869","524"
"https://www.goodreads.com/book/show/4687.The_Cider_House_Rules","42728","574"
"https://www.goodreads.com/book/show/2493.The_Time_Machine","42699","596"
"https://www.goodreads.com/book/show/39662.Different_Seasons","42567","574"
"https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore","41829","475"
"https://www.goodreads.com/book/show/93.Heidi","41699","582"
"https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret","41606","556"
"https://www.goodreads.com/book/show/8755776-city-of-lost-souls","41242","515"
"https://www.goodreads.com/book/show/10959.Sophie_s_World","41061","498"
"https://www.goodreads.com/book/show/16902.Walden","40640","544"
"https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear","40200","444"
"https://www.goodreads.com/book/show/40937505","39342","396"
"https://www.goodreads.com/book/show/16068905-fangirl","39323","452"
"https://www.goodreads.com/book/show/58345.The_Awakening","39307","501"
"https://www.goodreads.com/book/show/228560.Sophie_s_Choice","38844","528"
"https://www.goodreads.com/book/show/16735.The_Prince_of_Tides","38169","504"
"https://www.goodreads.com/book/show/6334.Never_Let_Me_Go","38106","467"
"https://www.goodreads.com/book/show/9520360-the-son-of-neptune","37790","477"
"https://www.goodreads.com/book/show/301082.Dead_Until_Dark","37337","472"
"https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe","37166","518"
"https://www.goodreads.com/book/show/11857408-fifty-shades-darker","37096","439"
"https://www.goodreads.com/book/show/9969571-ready-player-one","37091","413"
"https://www.goodreads.com/book/show/44186.The_Monster_at_the_End_of_this_Book","36673","453"
"https://www.goodreads.com/book/show/19089.Middlemarch","36617","457"
"https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury","36616","395"
"https://www.goodreads.com/book/show/37781.Things_Fall_Apart","36188","467"
"https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary","36092","497"
"https://www.goodreads.com/book/show/7260188-mockingjay","36062","466"
"https://www.goodreads.com/book/show/14942.Mrs_Dalloway","36014","478"
"https://www.goodreads.com/book/show/5113.Franny_and_Zooey","35744","457"
"https://www.goodreads.com/book/show/122.The_Power_of_One","35295","404"
"https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew","35192","488"
"https://www.goodreads.com/book/show/16793.Stardust","35125","454"
"https://www.goodreads.com/book/show/32542.A_Time_to_Kill","35059","473"
"https://www.goodreads.com/book/show/43615.The_Gunslinger","34821","429"
"https://www.goodreads.com/book/show/47281.Number_the_Stars","34665","456"
"https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep","34499","446"
"https://www.goodreads.com/book/show/18710190-allegiant","34417","422"
"https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings","34401","412"
"https://www.goodreads.com/book/show/12127750-the-mark-of-athena","34346","424"
"https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything","34333","414"
"https://www.goodreads.com/book/show/15745753-eleanor-park","34316","400"
"https://www.goodreads.com/book/show/17347634-me-before-you","34172","397"
"https://www.goodreads.com/book/show/7235533-the-way-of-kings","34112","360"
"https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain","34060","404"
"https://www.goodreads.com/book/show/9275658-legend","34057","391"
"https://www.goodreads.com/book/show/4374400-if-i-stay","33968","407"
"https://www.goodreads.com/book/show/3685.Black_Beauty","33920","489"
"https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man","33836","444"
"https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles","33810","470"
